Map level of detail,Crime Category,Totals and new cats,First aggragation,Incidents values,Date,Crime category selection,Station
Meadowlands,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,MEADOWLANDS
Mamelodi East,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,MAMELODI EAST
Magaliesburg,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,MAGALIESBURG
Mabopane,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,MABOPANE
Bronkhorstspruit,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BRONKHORSTSPRUIT
Bramley,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BRAMLEY
Brakpan,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BRAKPAN
Brackendowns,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BRACKENDOWNS
Boschkop,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BOSCHKOP
Booysens,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BOOYSENS
Boksburg North,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BOKSBURG NORTH
Boipatong,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BOIPATONG
Bekkersdal,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BEKKERSDAL
Bedfordview,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BEDFORDVIEW
Atteridgeville,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ATTERIDGEVILLE
Alexandra,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ALEXANDRA
Alberton,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ALBERTON
Akasia,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,AKASIA
Actonville,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ACTONVILLE
Benoni,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BENONI
Mondeor,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,MONDEOR
Mamelodi,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,MAMELODI
Lyttelton,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,LYTTELTON
Brixton,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BRIXTON
Boksburg,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,BOKSBURG
Douglasdale,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DOUGLASDALE
Hillbrow,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,HILLBROW
Hercules,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,HERCULES
Hekpoort,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,HEKPOORT
Heidelberg (Gp),Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,HEIDELBERG (GP)
Hammanskraal,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,HAMMANSKRAAL
Germiston,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,GERMISTON
Garsfontein,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,GARSFONTEIN
Ga-Rankuwa,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,GA-RANKUWA
Fochville,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,FOCHVILLE
Evaton,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,EVATON
Etwatwa,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ETWATWA
Erasmia,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ERASMIA
Ennerdale,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ENNERDALE
Elsburg,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ELSBURG
Eldorado Park,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ELDORADO PARK
Ekangala,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,EKANGALA
Eersterust,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,EERSTERUST
Edenvale,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,EDENVALE
Edenpark,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,EDENPARK
Dunnottar,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DUNNOTTAR
Duduza,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DUDUZA
Dube,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DUBE
Dobsonville,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DOBSONVILLE
Diepsloot,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DIEPSLOOT
Diepkloof,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DIEPKLOOF
Devon,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DEVON
De Deur,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DE DEUR
Dawn Park,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DAWN PARK
Cullinan,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,CULLINAN
Crystalpark,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,CRYSTALPARK
Carletonville,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,CARLETONVILLE
Honeydew,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,HONEYDEW
Florida,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,FLORIDA
Cleveland,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,CLEVELAND
Fairland,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,FAIRLAND
Daveyton,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DAVEYTON
Doornkop,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,DOORNKOP
Zonkizizwe,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ZONKIZIZWE
Yeoville,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,YEOVILLE
Wonderboompoort,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,WONDERBOOMPOORT
Wierdabrug,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,WIERDABRUG
Westonaria,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,WESTONARIA
Welbekend,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,WELBEKEND
Wedela,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,WEDELA
Vosloorus,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,VOSLOORUS
Villieria,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,VILLIERIA
Vaal Marina,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,VAAL MARINA
Springs,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,SPRINGS
Soshanguve,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,SOSHANGUVE
Sophia Town,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,SOPHIA TOWN
Sinoville,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,SINOVILLE
Sharpeville,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,SHARPEVILLE
Sebokeng,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,1,01/01/2023,Total contact crime,SEBOKENG
Sebenza,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,SEBENZA
Sandringham,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,SANDRINGHAM
Roodepoort,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ROODEPOORT
Rietgat,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,RIETGAT
Reigerpark,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,REIGERPARK
Ratanda,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,RATANDA
Randfontein,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,RANDFONTEIN
Rabie Ridge,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,RABIE RIDGE
Putfontein,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,PUTFONTEIN
Protea,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,PROTEA
Primrose,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,PRIMROSE
Pretoria West,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,PRETORIA WEST
Pretoria North,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,PRETORIA NORTH
Pretoria Moot,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,PRETORIA MOOT
Pretoria Central,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,PRETORIA CENTRAL
Jabulani,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,JABULANI
Ivory Park,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,IVORY PARK
Vanderbijlpark,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,VANDERBIJLPARK
Randburg,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,RANDBURG
Vereeniging,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,VEREENIGING
Silverton,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,SILVERTON
Sandton,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,SANDTON
Rosebank,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ROSEBANK
Sunnyside,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,SUNNYSIDE
Tarlton,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,TARLTON
Temba,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,TEMBA
Tembisa,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,TEMBISA
Tembisa South,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,TEMBISA SOUTH
The Barrage,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,THE BARRAGE
Tokoza,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,TOKOZA
Tsakane,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,TSAKANE
Cosmo City,Bank robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,COSMO CITY
Lenasia,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,LENASIA
Parkview,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,PARKVIEW
Orlando,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ORLANDO
Orange Farms,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,ORANGE FARMS
Or Tambo Intern Airp,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,OR TAMBO INTERN AIRP
Olifantsfontein,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,OLIFANTSFONTEIN
Olievenhoutbosch,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,OLIEVENHOUTBOSCH
Nigel,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,NIGEL
Naledi,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,NALEDI
Muldersdrift,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,1,01/01/2023,Total contact crime,MULDERSDRIFT
Loate,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,LOATE
Lenasia South,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,LENASIA SOUTH
Laudium,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,LAUDIUM
Langlaagte,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,LANGLAAGTE
Kwa Thema,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,KWA THEMA
Krugersdorp,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,KRUGERSDORP
Kliptown,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,KLIPTOWN
Kliprivier,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,KLIPRIVIER
Khutsong,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,KHUTSONG
Kempton Park,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,KEMPTON PARK
Katlehong North,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,KATLEHONG NORTH
Katlehong,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,KATLEHONG
Kameeldrift,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,KAMEELDRIFT
Kagiso,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,KAGISO
Jeppe,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,JEPPE
Norwood,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,NORWOOD
Norkempark,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,NORKEMPARK
Linden,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,LINDEN
Jhb Central,Bank Robbery,Total contact crime,Robbery with aggravating circumstances,0,01/01/2023,Total contact crime,JHB CENTRAL
Akasia,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,143,01/01/2023,Total contact crime,AKASIA
Booysens,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,146,01/01/2023,Total contact crime,BOOYSENS
Moffatview,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,139,01/01/2023,Total contact crime,MOFFATVIEW
Mondeor,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,156,01/01/2023,Total contact crime,MONDEOR
Brooklyn,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,134,01/01/2023,Total contact crime,BROOKLYN
Midrand,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,76,01/01/2023,Total contact crime,MIDRAND
Alexandra,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,44,01/01/2023,Total contact crime,ALEXANDRA
Benoni,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,97,01/01/2023,Total contact crime,BENONI
Brixton,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,108,01/01/2023,Total contact crime,BRIXTON
Atteridgeville,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,46,01/01/2023,Total contact crime,ATTERIDGEVILLE
Mamelodi East,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,67,01/01/2023,Total contact crime,MAMELODI EAST
Moroka,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,54,01/01/2023,Total contact crime,MOROKA
Bramley,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,64,01/01/2023,Total contact crime,BRAMLEY
Brakpan,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,56,01/01/2023,Total contact crime,BRAKPAN
Alberton,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,64,01/01/2023,Total contact crime,ALBERTON
Meyerton,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,29,01/01/2023,Total contact crime,MEYERTON
Mabopane,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,93,01/01/2023,Total contact crime,MABOPANE
Lyttelton,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,42,01/01/2023,Total contact crime,LYTTELTON
Boksburg,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,29,01/01/2023,Total contact crime,BOKSBURG
Bedfordview,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,24,01/01/2023,Total contact crime,BEDFORDVIEW
Bronkhorstspruit,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,46,01/01/2023,Total contact crime,BRONKHORSTSPRUIT
Bekkersdal,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,61,01/01/2023,Total contact crime,BEKKERSDAL
Meadowlands,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,55,01/01/2023,Total contact crime,MEADOWLANDS
Brackendowns,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,19,01/01/2023,Total contact crime,BRACKENDOWNS
Boksburg North,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,42,01/01/2023,Total contact crime,BOKSBURG NORTH
Boschkop,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,13,01/01/2023,Total contact crime,BOSCHKOP
Mamelodi,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,15,01/01/2023,Total contact crime,MAMELODI
Magaliesburg,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,6,01/01/2023,Total contact crime,MAGALIESBURG
Actonville,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,7,01/01/2023,Total contact crime,ACTONVILLE
Boipatong,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,4,01/01/2023,Total contact crime,BOIPATONG
Honeydew,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,166,01/01/2023,Total contact crime,HONEYDEW
Diepsloot,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,78,01/01/2023,Total contact crime,DIEPSLOOT
Florida,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,84,01/01/2023,Total contact crime,FLORIDA
Dobsonville,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,110,01/01/2023,Total contact crime,DOBSONVILLE
Cleveland,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,63,01/01/2023,Total contact crime,CLEVELAND
Evaton,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,80,01/01/2023,Total contact crime,EVATON
Garsfontein,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,40,01/01/2023,Total contact crime,GARSFONTEIN
Douglasdale,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,57,01/01/2023,Total contact crime,DOUGLASDALE
Etwatwa,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,43,01/01/2023,Total contact crime,ETWATWA
Edenvale,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,44,01/01/2023,Total contact crime,EDENVALE
Ennerdale,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,59,01/01/2023,Total contact crime,ENNERDALE
Eldorado Park,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,26,01/01/2023,Total contact crime,ELDORADO PARK
Doornkop,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,38,01/01/2023,Total contact crime,DOORNKOP
Edenpark,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,71,01/01/2023,Total contact crime,EDENPARK
Germiston,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,34,01/01/2023,Total contact crime,GERMISTON
Ga-Rankuwa,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,42,01/01/2023,Total contact crime,GA-RANKUWA
Dawn Park,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,93,01/01/2023,Total contact crime,DAWN PARK
Carletonville,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,64,01/01/2023,Total contact crime,CARLETONVILLE
Elsburg,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,71,01/01/2023,Total contact crime,ELSBURG
Erasmia,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,42,01/01/2023,Total contact crime,ERASMIA
Daveyton,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,56,01/01/2023,Total contact crime,DAVEYTON
Crystalpark,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,43,01/01/2023,Total contact crime,CRYSTALPARK
Dube,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,13,01/01/2023,Total contact crime,DUBE
De Deur,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,64,01/01/2023,Total contact crime,DE DEUR
Cullinan,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,38,01/01/2023,Total contact crime,CULLINAN
Fairland,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,18,01/01/2023,Total contact crime,FAIRLAND
Fochville,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,20,01/01/2023,Total contact crime,FOCHVILLE
Hammanskraal,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,39,01/01/2023,Total contact crime,HAMMANSKRAAL
Hercules,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,43,01/01/2023,Total contact crime,HERCULES
Duduza,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,26,01/01/2023,Total contact crime,DUDUZA
Heidelberg (Gp),Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,15,01/01/2023,Total contact crime,HEIDELBERG (GP)
Diepkloof,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,40,01/01/2023,Total contact crime,DIEPKLOOF
Dunnottar,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,2,01/01/2023,Total contact crime,DUNNOTTAR
Hillbrow,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,29,01/01/2023,Total contact crime,HILLBROW
Hekpoort,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,3,01/01/2023,Total contact crime,HEKPOORT
Ekangala,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,12,01/01/2023,Total contact crime,EKANGALA
Eersterust,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,4,01/01/2023,Total contact crime,EERSTERUST
Devon,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,1,01/01/2023,Total contact crime,DEVON
Cosmo City,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,41,01/01/2023,Total contact crime,COSMO CITY
Sunnyside,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,45,01/01/2023,Total contact crime,SUNNYSIDE
Tarlton,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,30,01/01/2023,Total contact crime,TARLTON
Temba,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,95,01/01/2023,Total contact crime,TEMBA
Tembisa,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,207,01/01/2023,Total contact crime,TEMBISA
Tembisa South,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,43,01/01/2023,Total contact crime,TEMBISA SOUTH
The Barrage,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,6,01/01/2023,Total contact crime,THE BARRAGE
Tokoza,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,12,01/01/2023,Total contact crime,TOKOZA
Tsakane,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,63,01/01/2023,Total contact crime,TSAKANE
Kagiso,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,178,01/01/2023,Total contact crime,KAGISO
Linden,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,63,01/01/2023,Total contact crime,LINDEN
Olievenhoutbosch,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,142,01/01/2023,Total contact crime,OLIEVENHOUTBOSCH
Lenasia,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,76,01/01/2023,Total contact crime,LENASIA
Muldersdrift,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,55,01/01/2023,Total contact crime,MULDERSDRIFT
Orange Farms,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,86,01/01/2023,Total contact crime,ORANGE FARMS
Krugersdorp,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,108,01/01/2023,Total contact crime,KRUGERSDORP
Loate,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,66,01/01/2023,Total contact crime,LOATE
Lenasia South,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,65,01/01/2023,Total contact crime,LENASIA SOUTH
Parkview,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,35,01/01/2023,Total contact crime,PARKVIEW
Jeppe,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,72,01/01/2023,Total contact crime,JEPPE
Kempton Park,Robbery at residential premises,Total contact crime,Robbery with aggravating circumstances,43,01/01/2023,Total contact crime,KEMPTON PARK
